t,velX,velY,velZ,velAir,vel
442,-0.585445,-0.55115,-1.44977,13.0958,13.0958
443,-0.397055,-0.629914,-1.29796,13.4623,13.4623
444,-0.576958,-0.354847,-1.52122,13.4191,13.4191
445,-0.719171,-0.176373,-1.6971,13.4193,13.4193
446,-0.837925,-0.0269613,-1.8432,13.4894,13.4894
447,-0.929416,0.0726604,-1.93877,13.5557,13.5557
448,-0.99078,0.108793,-1.96994,13.5528,13.5528
449,-1.0204,0.0766385,-1.93199,13.4522,13.4522
450,-1.02146,0.0983626,-1.96375,13.489,13.489
451,-1.00486,0.136492,-1.94517,13.628,13.628
452,-0.981422,0.175233,-1.9205,13.7833,13.7833
453,-0.984956,0.171413,-1.79541,13.8546,13.8546
454,-0.986719,0.21455,-1.64705,14.0864,14.0864
455,-0.988593,0.243932,-1.47058,14.3144,14.3144
456,-0.990592,0.258348,-1.27444,14.5354,14.5354
457,-0.992695,0.257582,-1.06805,14.7478,14.7478
458,-1.02862,-0.0921705,-0.584983,14.4739,14.4739
459,-0.928083,-0.430361,-0.477614,14.0918,14.0918
460,-0.701526,-0.671354,-0.458687,14.0374,14.0374
461,-0.38145,-0.773484,-0.557672,14.2551,14.2551
462,-0.0138051,-0.730511,-0.769881,14.7636,14.7636
463,0.199119,0.63416,-0.853641,18.0372,18.0372
464,0.398672,0.610654,-0.35823,19.0404,19.0404
465,0.575042,-0.547188,-0.225175,17.4056,17.4056
466,0.720764,-0.439941,-1.22257,16.7742,16.7742
467,0.830168,0.294753,-1.27792,18.485,18.485
468,0.912017,0.00170582,0.0763846,19.8425,19.8425
469,0.640333,0.323771,-1.48345,17.7986,17.7986
470,0.123426,-0.913143,-0.812834,14.7973,14.7973
471,-0.448469,0.847371,-0.981199,17.4316,17.4316
472,-0.879834,-0.351658,-0.234816,14.7543,14.7543
473,-1.03593,-0.0217226,-1.86131,13.2211,13.2211
474,-1.0452,0.0539326,-1.79595,13.456,13.456
475,-1.008,0.254178,-1.15832,14.6216,14.6216
476,-0.942631,0.308061,-0.560549,15.6089,15.6089
